question_id,human,generated,note on disagreement,complexity,complexity_class,str_eq,res_eq,res_eq_corrected,nubia,nubia_pred,mt1,mt2,mt3,mt_majority,mt_strict,eq_majority,eq_strict,eq_nubia,,,,,,,,,,
custom,"Custom question","",,,4,hard,0,0,0,0.805143541,1,0,0,0,0,0,1,1,0,,,,,,,,,
5d415bb5692f198cdabe8885,Who was born on December 16th 1938?,What are the death places of people who were born in 1938-12-16?,,1.5,easy,0,0,0,0.168852592,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5d92ea50b858765a1aa61774,What is the total revenue of movies produced by Spooky Tooth Productions?,What is the total revenue of all movies whose name is Spooky Tooth Productions?,,4,hard,0,0,0,0.805143541,1,0,0,0,0,0,1,1,0,,,,,,,,,,
5da5e2a75aaa6bd58ddcb61d,"What are the names of those who have not died in Brighton, England?","What are the names of people who were not deceased in Brighton, England?",,1.5,easy,1,1,1,0.964263387,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d931151b858765a1aa61779,What is gender of Mark Tallman?,What are the genders of people whose gender is Mark Tallman?,,1.5,easy,0,0,0,0.970385973,1,0,0,0,0,0,1,1,0,,,,,,,,,,
5dc0150e71624f0019ff77aa,What are the revenues of movies with a vote count of 2607 or less?,What are the revenues of movies with a vote count of at most 2607?,,1.5,easy,1,1,1,0.636190626,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5d402e8f93dd6c91e85b995e,Where did non female persons die?,What are the death places of people whose gender is f who were nominated for oscars for their contribution to movies?,,1.5,easy,0,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dd265e2451d96001804a677,What are the original languages of movies with a movie count of 675?,What are the original languages of movies with a vote count of 675?,bad annotator,1.5,easy,1,1,1,0.651802508,0,0,1,0,0,0,0,0,0,,,,,,,,,,
5dc2985871624f001aff7c74,What are the different popularities for released movies?,What are the popularities of movies whose status is not Released?,,1.5,easy,0,0,0,0.211686021,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc9430d71624f00194ac2ee,What are the genders of the persons who are not born on the 1967-06-04?,What are the genders of people who were not born on 1967-06-04?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
